Date,4. close
2023-12-04,286.13
2023-12-05,286.54
2023-12-06,286.86
2023-12-07,286.79
2023-12-08,285.53
2023-12-11,289.15
2023-12-12,291.42
2023-12-13,295.93
2023-12-14,290.02
2023-12-15,287.27
2023-12-18,290.23
2023-12-19,290.73
2023-12-20,288.99
2023-12-21,291.39
2023-12-22,291.7
2023-12-26,292.86
2023-12-27,294.55
2023-12-28,295.84
2023-12-29,296.51
2024-01-02,297.04
2024-01-03,294.39
2024-01-04,291.74
2024-01-05,288.99
2024-01-08,291.9
2024-01-09,290.87
2024-01-10,294.09
2024-01-11,294.15
2024-01-12,293.47
2024-01-16,291.09
2024-01-17,291.16
2024-01-18,294.36
2024-01-19,300.53
2024-01-22,298.41
2024-01-23,300.05
2024-01-24,300.44
2024-01-25,297.21
2024-01-26,292.26
2024-01-29,292.31
2024-01-30,294.65
2024-01-31,292.72
2024-02-01,298.08
2024-02-02,297.05
2024-02-05,285.97
2024-02-06,284.65
2024-02-07,287.33
2024-02-08,291.93
2024-02-09,289.47
2024-02-12,289.44
2024-02-13,287.11
2024-02-14,288.17
2024-02-15,291.86
2024-02-16,292.02
2024-02-20,292.65
2024-02-21,293.91
2024-02-22,295.92
2024-02-23,297.75
2024-02-26,297.12
2024-02-27,293.76
2024-02-28,295.19
