date,1. open,4. close,RSI,ADX,CCI,MACD,MACD_Signal,MACD_Hist
2014-05-21,101.71,102.56,58.6122,32.425,3.4067,0.6862,0.7985,-0.1123
2014-05-22,102.65,102.45,57.7852,32.3237,32.4948,0.6511,0.769,-0.1179
2014-05-23,102.52,102.0,54.4034,31.4768,-19.7951,0.5885,0.7329,-0.1444
2014-05-27,102.2,102.36,56.592,30.7433,-2.1643,0.5549,0.6973,-0.1424
2014-05-28,101.84,101.3,49.1162,28.7204,-166.3092,0.4571,0.6492,-0.1921
2014-05-29,101.27,101.34,54.3265,26.8143,-67.8823,0.4275,0.6049,-0.1774
2014-05-30,101.25,101.43,54.8578,24.9587,-63.3289,0.405,0.5649,-0.1599
2014-06-02,101.39,102.03,58.3373,24.3012,60.7918,0.4199,0.5359,-0.116
2014-06-03,101.64,101.45,54.004,23.6908,17.6023,0.3909,0.5069,-0.116
2014-06-04,101.36,102.44,59.5298,23.6063,111.0488,0.425,0.4905,-0.0655
2014-06-05,102.34,102.45,59.5826,23.6556,130.1945,0.4475,0.4819,-0.0344
2014-06-06,102.41,101.96,55.7435,23.722,104.1833,0.4297,0.4715,-0.0418
2014-06-09,101.59,101.38,51.5125,22.8084,-6.5005,0.375,0.4522,-0.0772
2014-06-10,101.61,100.88,48.1216,21.257,-94.2321,0.2968,0.4211,-0.1243
2014-06-11,100.74,100.42,45.1753,20.1166,-147.711,0.2038,0.3776,-0.1739
2014-06-12,100.41,99.76,41.2709,19.9607,-169.2058,0.0876,0.3196,-0.232
2014-06-13,99.41,100.49,46.7526,19.9513,-127.8933,0.0409,0.2639,-0.223
2014-06-16,100.42,101.1,50.8785,19.088,-45.1524,0.0415,0.2194,-0.1779
2014-06-17,100.91,101.27,51.9949,18.0139,2.8964,0.0521,0.186,-0.1339
2014-06-18,101.74,101.35,52.5415,17.0165,6.7514,0.0647,0.1617,-0.097
2014-06-19,101.04,101.91,56.2932,16.391,39.5716,0.1086,0.1511,-0.0425
2014-06-20,102.2,101.92,56.3596,16.1411,75.094,0.1423,0.1493,-0.007
2014-06-23,101.64,101.91,56.2676,15.6726,53.8196,0.1665,0.1528,0.0137
2014-06-24,101.84,101.47,52.2286,15.4859,45.1389,0.1563,0.1535,0.0028
2014-06-25,101.09,101.61,53.3754,14.6948,32.9841,0.1552,0.1538,0.0014
2014-06-26,101.61,101.51,52.4076,13.9603,38.198,0.1464,0.1523,-0.006
2014-06-27,101.25,101.46,51.9009,13.2782,30.5824,0.1347,0.1488,-0.0141
2014-06-30,101.27,100.74,45.1337,13.0622,-39.9398,0.0794,0.1349,-0.0555
2014-07-01,100.43,101.0,47.7815,13.227,-51.1542,0.0513,0.1182,-0.0669
2014-07-02,101.02,100.53,43.678,13.3801,-98.5414,-0.0004,0.0945,-0.0949
2014-07-03,101.32,100.98,48.2596,13.0478,-61.3252,-0.013,0.073,-0.086
2014-07-07,100.75,100.17,41.6862,13.9911,-178.0987,-0.0729,0.0438,-0.1167
2014-07-08,99.79,100.09,41.0909,14.9714,-148.4238,-0.124,0.0103,-0.1342
2014-07-09,100.3,101.07,50.4298,14.6144,-40.5709,-0.1019,-0.0122,-0.0897
2014-07-10,100.22,100.58,46.4635,14.4214,-66.9492,-0.1138,-0.0325,-0.0813
2014-07-11,100.66,100.37,44.836,14.4262,-85.315,-0.1348,-0.0529,-0.0818
2014-07-14,100.69,100.47,45.8094,14.4307,-63.7436,-0.1435,-0.0711,-0.0724
2014-07-15,100.32,100.3,44.3758,15.064,-103.1653,-0.1592,-0.0887,-0.0705
2014-07-16,99.65,99.27,36.851,16.8416,-211.4744,-0.2335,-0.1177,-0.1159
2014-07-17,98.96,98.37,31.78,18.8361,-234.168,-0.3448,-0.1631,-0.1817
2014-07-18,98.64,98.99,38.0994,20.8629,-166.4226,-0.3896,-0.2084,-0.1812
2014-07-21,98.52,97.55,30.9325,23.1659,-178.2829,-0.5095,-0.2686,-0.2409
2014-07-22,95.39,96.27,26.2124,26.4327,-217.7199,-0.6768,-0.3502,-0.3266
2014-07-23,95.51,95.35,23.4434,29.5546,-189.3473,-0.8572,-0.4516,-0.4055
2014-07-24,95.48,95.35,23.4434,32.4535,-144.4016,-0.9887,-0.559,-0.4297
2014-07-25,95.36,95.72,27.0383,34.7012,-109.9891,-1.0576,-0.6588,-0.3988
2014-07-28,95.5,95.78,27.6318,36.5527,-88.2431,-1.0958,-0.7462,-0.3496
2014-07-29,95.89,95.82,28.0519,37.41,-67.3918,-1.1108,-0.8191,-0.2917
